"Year"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"dadband"	"NestYear.x"	"TerrYr.y"	"dadid"	"dadexp"	"dadage"	"momband"	"NestYear.y"	"TerrYr"	"momid"	"momexp"	"momage"	"CountofJayID"	"NumTerr"	"Den"
"18"	"1983"	"1423-42746"	"S-RL"	"CTRW831"	"CTRW83"	"CTRW"	1983-04-29	4883	4948	52	1983-05-10	3	3	65	0.18	1	11	0	0	"1423-42644"	"1983"	"CTRW83"	"R-PZ"	0	2	"1423-42645"	"1983"	"CTRW83"	"R-OZ"	0	2	113	35	3.22857142857143
"19"	"1983"	"1423-42747"	"S-GL"	"CTRW831"	"CTRW83"	"CTRW"	1983-04-29	4883	4898	49.7	1983-05-10	3	3	15	0.04	1	11	0	0	"1423-42644"	"1983"	"CTRW83"	"R-PZ"	0	2	"1423-42645"	"1983"	"CTRW83"	"R-OZ"	0	2	113	35	3.22857142857143
"20"	"1983"	"1423-42750"	"S-Ln"	"SIXS831"	"SIXS83"	"SIXS"	1983-04-29	4885	4898	35	1983-05-10	3	3	13	0.04	1	11	1	1	"1383-27125"	"1983"	"SIXS83"	"L-SF"	1	5	"1423-42665"	"1983"	"SIXS83"	"R-AZ"	1	3	113	35	3.22857142857143
"21"	"1983"	"1423-42745"	"S-WL"	"CTRW831"	"CTRW83"	"CTRW"	1983-04-29	4883	6130	51.6	1983-05-10	3	3	1247	3.41	0	11	0	0	"1423-42644"	"1983"	"CTRW83"	"R-PZ"	0	2	"1423-42645"	"1983"	"CTRW83"	"R-OZ"	0	2	113	35	3.22857142857143
"22"	"1983"	"1423-42690"	"S-Yn"	"ROSE831"	"ROSE83"	"ROSE"	1983-04-15	4870	4877	42	1983-04-26	4	3	7	0.02	1	11	0	0	"1383-27178"	"1983"	"ROSE83"	"-BPS"	1	3	"1383-27154"	"1983"	"ROSE83"	"YG-S"	1	4	113	35	3.22857142857143
"23"	"1983"	"1423-42691"	"S-BB"	"ROSE831"	"ROSE83"	"ROSE"	1983-04-15	4870	7315	39.4	1983-04-26	4	3	2445	6.69	0	11	0	0	"1383-27178"	"1983"	"ROSE83"	"-BPS"	1	3	"1383-27154"	"1983"	"ROSE83"	"YG-S"	1	4	113	35	3.22857142857143
"24"	"1983"	"1423-42762"	"S-WA"	"MILW831"	"MILW83"	"MILW"	1983-05-17	4902	5122	45	1983-05-28	3	3	220	0.6	1	11	0	0	"793-09803"	"1983"	"MILW83"	"P-SA"	1	8	"1423-42774"	"1983"	"MILW83"	"G-FZ"	0	2	113	35	3.22857142857143
"25"	"1983"	"1423-42698"	"S-Gn"	"ANYR831"	"ANYR83"	"ANYR"	1983-04-17	4875	4877	42.1	1983-04-28	4	4	2	0.01	1	11	1	4	"793-09858"	"1983"	"ANYR83"	"SYR-"	1	6	"1383-27280"	"1983"	"ANYR83"	"W-PZ"	1	4	113	35	3.22857142857143
"26"	"1983"	"1423-42700"	"S-Bn"	"ANYR831"	"ANYR83"	"ANYR"	1983-04-17	4875	4918	42.3	1983-04-28	4	4	43	0.12	1	11	1	4	"793-09858"	"1983"	"ANYR83"	"SYR-"	1	6	"1383-27280"	"1983"	"ANYR83"	"W-PZ"	1	4	113	35	3.22857142857143
"27"	"1983"	"1423-42689"	"S-GB"	"ROSE831"	"ROSE83"	"ROSE"	1983-04-15	4870	5491	38.6	1983-04-26	4	3	621	1.7	0	11	0	0	"1383-27178"	"1983"	"ROSE83"	"-BPS"	1	3	"1383-27154"	"1983"	"ROSE83"	"YG-S"	1	4	113	35	3.22857142857143
