"USFWBand"	"JayID"	"NatalNest"	"TerrYr"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"SexIND"	"FBreeder"	"FUSFWBand"	"MBreeder"	"MUSFWBand"	"famid"
"284"	"1063-43513"	"C-Wn"	"SFLS031"	"SFLS03"	"SFLS"	"2003"	2003-04-06	12165	12201	49.1	2003-04-17	3	3	36	0.1	1	11	1	1	2	"L-OM"	"1453-78248"	"RA-C"	"1513-50315"	1
"285"	"1063-43514"	"C-RW"	"SFLS031"	"SFLS03"	"SFLS"	"2003"	2003-04-06	12165	12642	44.4	2003-04-17	3	3	477	1.31	0	11	1	1	2	"L-OM"	"1453-78248"	"RA-C"	"1513-50315"	1
"286"	"1063-43515"	"C-Gn"	"SFLS031"	"SFLS03"	"SFLS"	"2003"	2003-04-06	12165	12201	52.1	2003-04-17	3	3	36	0.1	1	11	1	1	2	"L-OM"	"1453-78248"	"RA-C"	"1513-50315"	1
"287"	"1063-43516"	"C-Bn"	"NPOL031"	"NPOL03"	"NPOL"	"2003"	2003-04-06	12164	12171	45.7	2003-04-17	4	4	7	0.02	1	11	0	0	1	"B-OM"	"1453-63698"	"PY-C"	"1713-49018"	1
"288"	"1063-43517"	"C-Pn"	"NPOL031"	"NPOL03"	"NPOL"	"2003"	2003-04-06	12164	12171	47.9	2003-04-17	4	4	7	0.02	1	11	0	0	2	"B-OM"	"1453-63698"	"PY-C"	"1713-49018"	1
"289"	"1063-43518"	"C-On"	"NPOL031"	"NPOL03"	"NPOL"	"2003"	2003-04-06	12164	12165	39.1	2003-04-17	4	4	1	0	1	11	0	0	2	"B-OM"	"1453-63698"	"PY-C"	"1713-49018"	1
"290"	"1063-43520"	"C-Fn"	"WAHO031"	"WAHO03"	"WAHO"	"2003"	2003-04-07	12167	12186	51	2003-04-18	2	2	19	0.05	1	11	1	3	2	"WO-ZU"	"1513-50246"	"RLC-U"	"3"	1
"291"	"1063-43521"	"C-An"	"WAHO031"	"WAHO03"	"WAHO"	"2003"	2003-04-07	12167	12168	41	2003-04-18	2	2	1	0	1	11	1	3	2	"WO-ZU"	"1513-50246"	"RLC-U"	"3"	1
"292"	"1063-43522"	"C-LG"	"N7RD031"	"N7RD03"	"N7RD"	"2003"	2003-04-08	12169	15811	51.5	2003-04-19	4	3	3642	9.97	0	11	1	1	1	"FR-C"	"1513-50328"	"Z-RR"	"1453-63510"	1
"293"	"1063-43524"	"C-AG"	"N7RD031"	"N7RD03"	"N7RD"	"2003"	2003-04-08	12169	12219	46.8	2003-04-19	4	3	50	0.14	1	11	1	1	2	"FR-C"	"1513-50328"	"Z-RR"	"1453-63510"	1
"294"	"1063-43525"	"C-WB"	"HICE031"	"HICE03"	"HICE"	"2003"	2003-04-10	12169	13466	48.5	2003-04-21	4	2	1297	3.55	0	11	1	1	1	"O-FC"	"1513-50793"	"Z-GA"	"1453-63663"	1
"295"	"1063-43527"	"C-GR"	"SHIC031"	"SHIC03"	"SHIC"	"2003"	2003-04-10	12171	12522	49	2003-04-21	4	4	351	0.96	1	11	0	0	2	"-OfHC"	"1513-50781"	"UZ-OA"	"1453-63609"	1
"296"	"1063-43528"	"C-YR"	"SHIC031"	"SHIC03"	"SHIC"	"2003"	2003-04-10	12171	13370	47.6	2003-04-21	4	4	1199	3.28	0	11	0	0	1	"-OfHC"	"1513-50781"	"UZ-OA"	"1453-63609"	1
"297"	"1063-43529"	"C-BR"	"SHIC031"	"SHIC03"	"SHIC"	"2003"	2003-04-10	12171	12305	44.6	2003-04-21	4	4	134	0.37	1	11	0	0	1	"-OfHC"	"1513-50781"	"UZ-OA"	"1453-63609"	1
"298"	"1063-43530"	"C-PR"	"SHIC031"	"SHIC03"	"SHIC"	"2003"	2003-04-10	12171	12522	42.5	2003-04-21	4	4	351	0.96	1	11	0	0	2	"-OfHC"	"1513-50781"	"UZ-OA"	"1453-63609"	1
"299"	"1063-43531"	"C-WW"	"SORA031"	"SORA03"	"SORA"	"2003"	2003-04-11	12169	15140	47	2003-04-22	2	2	2971	8.13	0	11	0	0	1	"P-AM"	"1453-78075"	"ZF-P"	"1453-78041"	1
"300"	"1063-43533"	"C-YB"	"CACT031"	"CACT03"	"CACT"	"2003"	2003-04-11	12168	12244	52.5	2003-04-22	1	1	76	0.21	1	11	1	3	2	"RL-C"	"1513-50331"	"W-FM"	"1063-42890"	1
"301"	"1063-43534"	"C-WP"	"XRDS031"	"XRDS03"	"XRDS"	"2003"	2003-04-12	12170	12522	49.4	2003-04-23	4	4	352	0.96	1	11	1	1	2	"BR-C"	"1513-50161"	"G-PM"	"1453-72701"	1
"302"	"1063-43535"	"C-RP"	"XRDS031"	"XRDS03"	"XRDS"	"2003"	2003-04-12	12170	14442	48.1	2003-04-23	4	4	2272	6.22	0	11	1	1	1	"BR-C"	"1513-50161"	"G-PM"	"1453-72701"	1
"303"	"1063-43536"	"C-GP"	"XRDS031"	"XRDS03"	"XRDS"	"2003"	2003-04-12	12170	12885	44.3	2003-04-23	4	4	715	1.96	0	11	1	1	1	"BR-C"	"1513-50161"	"G-PM"	"1453-72701"	1
"304"	"1063-43537"	"C-YP"	"XRDS031"	"XRDS03"	"XRDS"	"2003"	2003-04-12	12170	12642	41.3	2003-04-23	4	4	472	1.29	0	11	1	1	2	"BR-C"	"1513-50161"	"G-PM"	"1453-72701"	1
"305"	"1063-43538"	"C-OR"	"SCRP031"	"SCRP03"	"SCRP"	"2003"	2003-04-13	12173	12522	53.5	2003-04-24	4	4	349	0.96	1	11	1	1	2	"Z-WF"	"1453-63595"	"Y-RM"	"1453-57411"	1
"306"	"1063-43539"	"C-LR"	"SCRP031"	"SCRP03"	"SCRP"	"2003"	2003-04-13	12173	13984	49.7	2003-04-24	4	4	1811	4.96	0	11	1	1	1	"Z-WF"	"1453-63595"	"Y-RM"	"1453-57411"	1
"307"	"1063-43540"	"C-FR"	"SCRP031"	"SCRP03"	"SCRP"	"2003"	2003-04-13	12173	12522	48.3	2003-04-24	4	4	349	0.96	1	11	1	1	2	"Z-WF"	"1453-63595"	"Y-RM"	"1453-57411"	1
"308"	"1063-43546"	"C-RF"	"JERE031"	"JERE03"	"JERE"	"2003"	2003-04-14	12173	12214	53.6	2003-04-25	2	2	41	0.11	1	11	1	1	1	"LO-C"	"1513-50196"	"-PPC"	"1513-50746"	1
"309"	"1063-43547"	"C-Gn"	"JERE031"	"JERE03"	"JERE"	"2003"	2003-04-14	12173	12174	51.4	2003-04-25	2	2	1	0	1	11	1	1	1	"LO-C"	"1513-50196"	"-PPC"	"1513-50746"	1
"310"	"1063-43549"	"C-GG"	"LINX031"	"LINX03"	"LINX"	"2003"	2003-04-17	12177	12674	47.7	2003-04-28	4	4	497	1.36	0	11	1	3	1	"ZF-W"	"1453-72749"	"Z-YW"	"1453-63539"	1
"311"	"1063-43550"	"C-Yn"	"LINX031"	"LINX03"	"LINX"	"2003"	2003-04-17	12177	12186	46.9	2003-04-28	4	4	9	0.02	1	11	1	3	1	"ZF-W"	"1453-72749"	"Z-YW"	"1453-63539"	1
"312"	"1063-43551"	"C-BG"	"LINX031"	"LINX03"	"LINX"	"2003"	2003-04-17	12177	13802	41.6	2003-04-28	4	4	1625	4.45	0	11	1	3	1	"ZF-W"	"1453-72749"	"Z-YW"	"1453-63539"	1
"313"	"1063-43552"	"C-PG"	"LINX031"	"LINX03"	"LINX"	"2003"	2003-04-17	12177	13067	39.1	2003-04-28	4	4	890	2.44	0	11	1	3	1	"ZF-W"	"1453-72749"	"Z-YW"	"1453-63539"	1
"314"	"1063-43553"	"C-WA"	"MERL031"	"MERL03"	"MERL"	"2003"	2003-04-18	12176	14475	55.7	2003-04-29	4	2	2299	6.29	0	11	1	1	1	"-FZG"	"1453-78280"	"-OWC"	"1513-50391"	1
"315"	"1063-43554"	"C-Rn"	"MERL031"	"MERL03"	"MERL"	"2003"	2003-04-18	12176	12186	49.5	2003-04-29	4	2	10	0.03	1	11	1	1	2	"-FZG"	"1453-78280"	"-OWC"	"1513-50391"	1
"316"	"1063-43555"	"C-WO"	"NO19031"	"NO1903"	"NO19"	"2003"	2003-04-20	12179	16903	47.8	2003-05-01	2	2	4724	12.93	0	11	1	1	2	"G-RQ"	"1513-50795"	"-LZW"	"1453-78356"	1
"317"	"1063-43556"	"C-RO"	"NO19031"	"NO1903"	"NO19"	"2003"	2003-04-20	12179	15777	46	2003-05-01	2	2	3598	9.85	0	11	1	1	2	"G-RQ"	"1513-50795"	"-LZW"	"1453-78356"	1
"318"	"1063-43557"	"C-BB"	"MCBY032"	"MCBY03"	"MCBY"	"2003"	2003-04-20	12178	13922	45.6	2003-05-01	3	3	1744	4.77	0	11	0	0	2	"-OZL"	"1453-78322"	"L-QL"	"1063-48612"	1
"319"	"1063-43566"	"C-YL"	"SFLA033"	"SFLA03"	"SFLA"	"2003"	2003-05-03	12193	12244	43.5	2003-05-14	5	3	51	0.14	1	11	1	1	2	"-BZP"	"1063-43190"	"K-FZW"	"1063-43191"	1
"320"	"1063-43567"	"C-BL"	"SFLA033"	"SFLA03"	"SFLA"	"2003"	2003-05-03	12193	12244	32.9	2003-05-14	5	3	51	0.14	1	11	1	1	2	"-BZP"	"1063-43190"	"K-FZW"	"1063-43191"	1
"321"	"1063-43568"	"C-Pn"	"SFLA033"	"SFLA03"	"SFLA"	"2003"	2003-05-03	12193	12214	35.7	2003-05-14	5	3	21	0.06	1	11	1	1	2	"-BZP"	"1063-43190"	"K-FZW"	"1063-43191"	1
"322"	"1063-43580"	"C-BO"	"ELIN032"	"ELIN03"	"ELIN"	"2003"	2003-05-15	12204	15294	51.5	2003-05-26	3	3	3090	8.46	0	11	1	1	2	"-LZR"	"1453-78270"	"-GGC"	"1513-50706"	1
"323"	"1063-43582"	"C-AR"	"POLA032"	"POLA03"	"POLA"	"2003"	2003-05-19	12207	15838	44.5	2003-05-30	1	1	3631	9.94	0	11	1	1	2	"-ZRB"	"1043-90524"	"fHW-C"	"1603-51812"	1
"324"	"1063-43583"	"C-Yn"	"BIGL033"	"BIGL03"	"BIGL"	"2003"	2003-05-22	12213	12214	49.6	2003-06-02	3	3	1	0	1	11	1	2	1	"O-LM"	"1453-78223"	"Z-OG"	"1453-63524"	1
"325"	"1063-43584"	"C-BW"	"BIGL033"	"BIGL03"	"BIGL"	"2003"	2003-05-22	12213	16903	41.7	2003-06-02	3	3	4690	12.84	0	11	1	2	1	"O-LM"	"1453-78223"	"Z-OG"	"1453-63524"	1
"326"	"1063-43585"	"C-PW"	"BIGL033"	"BIGL03"	"BIGL"	"2003"	2003-05-22	12213	12244	37.3	2003-06-02	3	3	31	0.08	1	11	1	2	1	"O-LM"	"1453-78223"	"Z-OG"	"1453-63524"	1
"327"	"1063-43589"	"C-BP"	"CHOP031"	"CHOP03"	"CHOP"	"2003"	2003-05-26	12215	12339	45.5	2003-06-06	3	3	124	0.34	1	11	1	3	1	"BG-C"	"1513-50356"	"ORC-"	"1513-50982"	1
"328"	"1063-43591"	"C-On"	"WCOP032"	"WCOP03"	"WCOP"	"2003"	2003-05-26	12213	12214	58.7	2003-06-06	3	3	1	0	1	11	0	0	1	"U-GRC"	"1513-50838"	"ABC-"	"1513-50976"	1
"329"	"1063-43593"	"C-fHG"	"WCOP032"	"WCOP03"	"WCOP"	"2003"	2003-05-26	12213	15777	49.7	2003-06-06	3	3	3564	9.76	0	11	0	0	2	"U-GRC"	"1513-50838"	"ABC-"	"1513-50976"	1
"330"	"1063-43595"	"C-AB"	"PLAZ034"	"PLAZ03"	"PLAZ"	"2003"	2003-05-31	12220	12530	46.5	2003-06-11	2	2	310	0.85	1	11	0	0	2	"-ZOR"	"1163-68298"	"ZOG-"	"1043-44237"	1
"331"	"1063-48661"	"FZW-"	"XRDS952"	"XRDS95"	"XRDS"	"1995"	1995-04-30	9267	9718	42.7	1995-05-11	3	3	451	1.23	0	11	1	2	2	"G-YC"	"1053-56723"	"G-PM"	"1453-72701"	1
"332"	"1163-68201"	"ZLO-"	"SCOP973"	"SCOP97"	"SCOP"	"1997"	1997-04-23	9992	10208	42.5	1997-05-04	4	4	216	0.59	1	11	1	3	3	"BSA-"	"1433-87437"	"-RSA"	"1433-58370"	1
"333"	"1163-68202"	"ZWn-"	"XRDS974"	"XRDS97"	"XRDS"	"1997"	1997-04-27	9994	10010	51.5	1997-05-08	3	3	16	0.04	1	11	0	0	2	"O-PC"	"1053-14500"	"G-PM"	"1453-72701"	1
"334"	"1163-68203"	"ZRn-"	"XRDS974"	"XRDS97"	"XRDS"	"1997"	1997-04-27	9994	10010	52.4	1997-05-08	3	3	16	0.04	1	11	0	0	3	"O-PC"	"1053-14500"	"G-PM"	"1453-72701"	1
"335"	"1163-68214"	"ZOL-"	"SCOB972"	"SCOB97"	"SCOB"	"1997"	1997-05-16	10015	10180	39.7	1997-05-27	4	3	165	0.45	1	11	0	0	3	"-RGZ"	"1043-90543"	"Z-GY"	"1453-63530"	1
"336"	"1163-68215"	"ZLL-"	"SCOB972"	"SCOB97"	"SCOB"	"1997"	1997-05-16	10015	10180	37.7	1997-05-27	4	3	165	0.45	1	11	0	0	3	"-RGZ"	"1043-90543"	"Z-GY"	"1453-63530"	1
"337"	"1163-68216"	"ZFn-"	"SCOB972"	"SCOB97"	"SCOB"	"1997"	1997-05-16	10015	10052	44.2	1997-05-27	4	3	37	0.1	1	11	0	0	3	"-RGZ"	"1043-90543"	"Z-GY"	"1453-63530"	1
"338"	"1163-68218"	"ZGG-"	"POLA972"	"POLA97"	"POLA"	"1997"	1997-05-16	10015	10145	50	1997-05-27	2	2	130	0.36	1	11	0	0	3	"Z-OO"	"1453-63699"	"OZ-W"	"1013-63369"	1
"339"	"1163-68219"	"ZYG-"	"POLA972"	"POLA97"	"POLA"	"1997"	1997-05-16	10015	10117	50	1997-05-27	2	2	102	0.28	1	11	0	0	3	"Z-OO"	"1453-63699"	"OZ-W"	"1013-63369"	1
"340"	"1163-68220"	"ZLn-"	"NNWX972"	"NNWX97"	"NNWX"	"1997"	1997-05-17	10016	10052	39.2	1997-05-28	3	2	36	0.1	1	11	1	1	3	"PZ-W"	"1013-63313"	"-GWZ"	"1453-39003"	1
"341"	"1163-68221"	"ZFn-"	"NNWX972"	"NNWX97"	"NNWX"	"1997"	1997-05-17	10016	10117	35.3	1997-05-28	3	2	101	0.28	1	11	1	1	3	"PZ-W"	"1013-63313"	"-GWZ"	"1453-39003"	1
"342"	"1163-68224"	"ZWn-"	"ELIN973"	"ELIN97"	"ELIN"	"1997"	1997-05-22	10017	10024	47.8	1997-06-02	4	4	7	0.02	1	11	0	0	3	"O-LM"	"1453-78223"	"-SWA"	"1053-14420"	1
"343"	"1163-68227"	"ZYn-"	"ELIN973"	"ELIN97"	"ELIN"	"1997"	1997-05-22	10017	10117	39.1	1997-06-02	4	4	100	0.27	1	11	0	0	3	"O-LM"	"1453-78223"	"-SWA"	"1053-14420"	1
"344"	"1163-68228"	"ZYn-"	"SIXS974"	"SIXS97"	"SIXS"	"1997"	1997-05-23	10022	10030	52.1	1997-06-03	3	3	8	0.02	1	11	1	2	3	"B-OM"	"1453-63698"	"RSA-"	"1453-39196"	1
"345"	"1163-68229"	"ZBF-"	"SIXS974"	"SIXS97"	"SIXS"	"1997"	1997-05-23	10022	10117	54	1997-06-03	3	3	95	0.26	1	11	1	2	3	"B-OM"	"1453-63698"	"RSA-"	"1453-39196"	1
"346"	"1163-68230"	"ZPF-"	"SIXS974"	"SIXS97"	"SIXS"	"1997"	1997-05-23	10022	10240	47.5	1997-06-03	3	3	218	0.6	1	11	1	2	3	"B-OM"	"1453-63698"	"RSA-"	"1453-39196"	1
"347"	"1163-68231"	"ZOP-"	"MERL972"	"MERL97"	"MERL"	"1997"	1997-05-29	10025	10117	43.2	1997-06-09	2	2	92	0.25	1	11	0	0	3	"Z-LY"	"1453-63535"	"ZW-G"	"1453-72778"	1
"348"	"1163-68232"	"ZLn-"	"MERL972"	"MERL97"	"MERL"	"1997"	1997-05-29	10025	10027	31.9	1997-06-09	2	2	2	0.01	1	11	0	0	3	"Z-LY"	"1453-63535"	"ZW-G"	"1453-72778"	1
"349"	"1163-68283"	"-ZYW"	"EQUS981"	"EQUS98"	"EQUS"	"1998"	1998-04-14	10349	10480	44.8	1998-04-25	4	3	131	0.36	1	11	0	0	3	"WYZ="	"1433-58330"	"W-RQ"	"1163-68274"	1
"350"	"1163-68284"	"-ZBW"	"EQUS981"	"EQUS98"	"EQUS"	"1998"	1998-04-14	10349	11155	42.5	1998-04-25	4	3	806	2.21	0	11	0	0	2	"WYZ="	"1433-58330"	"W-RQ"	"1163-68274"	1
"351"	"1163-68285"	"-ZPW"	"EQUS981"	"EQUS98"	"EQUS"	"1998"	1998-04-14	10349	11028	42.5	1998-04-25	4	3	679	1.86	0	11	0	0	3	"WYZ="	"1433-58330"	"W-RQ"	"1163-68274"	1
"352"	"1163-68286"	"-ZOn"	"N18E981"	"N18E98"	"N18E"	"1998"	1998-04-16	10349	10409	47.2	1998-04-27	4	4	60	0.16	1	11	0	0	3	"F-WM"	"1453-78255"	"ZL-R"	"1453-72735"	1
"353"	"1163-68287"	"-ZLW"	"N18E981"	"N18E98"	"N18E"	"1998"	1998-04-16	10349	10786	48.4	1998-04-27	4	4	437	1.2	0	11	0	0	2	"F-WM"	"1453-78255"	"ZL-R"	"1453-72735"	1
"354"	"1163-68288"	"-ZFn"	"N18E981"	"N18E98"	"N18E"	"1998"	1998-04-16	10349	10400	45.4	1998-04-27	4	4	51	0.14	1	11	0	0	3	"F-WM"	"1453-78255"	"ZL-R"	"1453-72735"	1
"355"	"1163-68289"	"-ZAn"	"N18E981"	"N18E98"	"N18E"	"1998"	1998-04-16	10349	10355	31.4	1998-04-27	4	4	6	0.02	1	11	0	0	3	"F-WM"	"1453-78255"	"ZL-R"	"1453-72735"	1
"356"	"1163-68293"	"-ZRR"	"HICE981"	"HICE98"	"HICE"	"1998"	1998-04-19	10353	10786	47.6	1998-04-30	4	4	433	1.19	0	11	1	2	1	"UZ-AF"	"1453-63622"	"Z-GA"	"1453-63663"	1
"357"	"1163-68294"	"-ZGR"	"HICE981"	"HICE98"	"HICE"	"1998"	1998-04-19	10353	10666	45.6	1998-04-30	4	4	313	0.86	1	11	1	2	2	"UZ-AF"	"1453-63622"	"Z-GA"	"1453-63663"	1
"358"	"1163-68297"	"-ZPR"	"FARS981"	"FARS98"	"FARS"	"1998"	1998-04-22	10355	11058	40.3	1998-05-03	4	4	703	1.92	0	11	1	1	2	"A-AC"	"1433-58325"	"Z-GL"	"1453-63697"	1
"359"	"1163-68298"	"-ZOR"	"FARS981"	"FARS98"	"FARS"	"1998"	1998-04-22	10355	14837	44.2	1998-05-03	4	4	4482	12.27	0	11	1	1	2	"A-AC"	"1433-58325"	"Z-GL"	"1453-63697"	1
"360"	"1383-27196"	"WnS-"	"NWES811"	"NWES81"	"NWES"	"1981"	1981-03-31	4125	4147	40.5	1981-04-11	4	3	22	0.06	1	11	0	0	3	"A-SA"	"1383-27192"	"F-GS"	"1383-27136"	1
"361"	"1383-27200"	"RnS-"	"XRDS811"	"XRDS81"	"XRDS"	"1981"	1981-03-31	4126	4147	46.6	1981-04-11	3	3	21	0.06	1	11	0	0	3	"-SLR"	"1323-63712"	"-ORS"	"1383-27132"	12
"362"	"1383-27201"	"GBS-"	"XRDS811"	"XRDS81"	"XRDS"	"1981"	1981-03-31	4126	4208	42.5	1981-04-11	3	3	82	0.22	1	11	0	0	3	"-SLR"	"1323-63712"	"-ORS"	"1383-27132"	12
"363"	"1383-27202"	"WOS-"	"SORA811"	"SORA81"	"SORA"	"1981"	1981-03-31	4125	5027	47.6	1981-04-11	3	3	902	2.47	0	11	1	2	1	"SRG-"	"793-09827"	"SGY-"	"793-09868"	1
"364"	"1383-27203"	"ROS-"	"SORA811"	"SORA81"	"SORA"	"1981"	1981-03-31	4125	4299	32.4	1981-04-11	3	3	174	0.48	1	11	1	2	3	"SRG-"	"793-09827"	"SGY-"	"793-09868"	1
"365"	"1383-27204"	"GnS-"	"SORA811"	"SORA81"	"SORA"	"1981"	1981-03-31	4125	4178	36.8	1981-04-11	3	3	53	0.15	1	11	1	2	3	"SRG-"	"793-09827"	"SGY-"	"793-09868"	1
"366"	"1383-27208"	"YnS-"	"CABS811"	"CABS81"	"CABS"	"1981"	1981-04-03	4127	4130	53.1	1981-04-14	2	2	3	0.01	1	11	1	1	3	"-ASY"	"1433-93022"	"SY-P"	"1383-27133"	1
"367"	"1383-27209"	"BnS-"	"CABS811"	"CABS81"	"CABS"	"1981"	1981-04-03	4127	4178	53.1	1981-04-14	2	2	51	0.14	1	11	1	1	3	"-ASY"	"1433-93022"	"SY-P"	"1383-27133"	1
"368"	"1383-27213"	"RYS-"	"BAYR811"	"BAYR81"	"BAYR"	"1981"	1981-04-10	4136	4362	47.4	1981-04-21	2	2	226	0.62	1	11	0	0	3	"SBR-"	"793-09838"	"SRW-"	"793-09807"	13
"369"	"1383-27214"	"GYS-"	"BAYR811"	"BAYR81"	"BAYR"	"1981"	1981-04-10	4136	5275	50.1	1981-04-21	2	2	1139	3.12	0	11	0	0	2	"SBR-"	"793-09838"	"SRW-"	"793-09807"	13
"370"	"1383-27217"	"WnS-"	"WLIN811"	"WLIN81"	"WLIN"	"1981"	1981-04-11	4136	4208	44.7	1981-04-22	3	2	72	0.2	1	11	0	0	3	"W-BZ"	"1383-27279"	"L-SW"	"1323-63789"	14
"371"	"1383-27218"	"RnS-"	"WLIN811"	"WLIN81"	"WLIN"	"1981"	1981-04-11	4136	4147	38	1981-04-22	3	2	11	0.03	1	11	0	0	3	"W-BZ"	"1383-27279"	"L-SW"	"1323-63789"	14
"372"	"1383-27227"	"YAS-"	"YTRE811"	"YTRE81"	"YTRE"	"1981"	1981-04-11	4134	4362	54.6	1981-04-22	2	2	228	0.62	1	11	0	0	3	"FSY-"	"1163-94305"	"B-SL"	"1163-94386"	15
"373"	"1383-27228"	"BAS-"	"YTRE811"	"YTRE81"	"YTRE"	"1981"	1981-04-11	4134	4273	52.7	1981-04-22	2	2	139	0.38	1	11	0	0	3	"FSY-"	"1163-94305"	"B-SL"	"1163-94386"	15
"374"	"1383-27232"	"BnS-"	"LINS811"	"LINS81"	"LINS"	"1981"	1981-04-16	4140	4178	45.2	1981-04-27	3	3	38	0.1	1	11	0	0	3	"-SAB"	"1323-63772"	"-SYW"	"793-09885"	1
"375"	"1383-27234"	"OnS-"	"LINS811"	"LINS81"	"LINS"	"1981"	1981-04-16	4140	4147	39.9	1981-04-27	3	3	7	0.02	1	11	0	0	3	"-SAB"	"1323-63772"	"-SYW"	"793-09885"	1
"376"	"1383-27235"	"GFS-"	"NRID812"	"NRID81"	"NRID"	"1981"	1981-04-16	4142	4792	47.4	1981-04-27	3	3	650	1.78	0	11	1	1	2	"B-SY"	"1433-87411"	"LWS-"	"1013-32259"	16
"377"	"1383-27237"	"BFS-"	"NRID812"	"NRID81"	"NRID"	"1981"	1981-04-16	4142	4449	54.6	1981-04-27	3	3	307	0.84	1	11	1	1	2	"B-SY"	"1433-87411"	"LWS-"	"1013-32259"	16
"378"	"1383-27238"	"OFS="	"SSAN811"	"SSAN81"	"SSAN"	"1981"	1981-04-17	4142	6401	49.1	1981-04-28	3	3	2259	6.18	0	11	0	0	1	"FO-S"	"1383-27151"	"SBW-"	"793-09810"	1
"379"	"1383-27239"	"LnS-"	"SSAN811"	"SSAN81"	"SSAN"	"1981"	1981-04-17	4142	4147	46.4	1981-04-28	3	3	5	0.01	1	11	0	0	3	"FO-S"	"1383-27151"	"SBW-"	"793-09810"	1
"380"	"1383-27240"	"FnS-"	"SSAN811"	"SSAN81"	"SSAN"	"1981"	1981-04-17	4142	4147	35	1981-04-28	3	3	5	0.01	1	11	0	0	3	"FO-S"	"1383-27151"	"SBW-"	"793-09810"	1
"381"	"1383-27241"	"PFS-"	"FIRE811"	"FIRE81"	"FIRE"	"1981"	1981-04-22	4146	4335	53.4	1981-05-03	2	2	189	0.52	1	11	1	1	3	"-SYR"	"1323-63763"	"-SAR"	"1323-63714"	1
"382"	"1383-27242"	"OnS-"	"FIRE811"	"FIRE81"	"FIRE"	"1981"	1981-04-22	4146	4147	39.6	1981-05-03	2	2	1	0	1	11	1	1	3	"-SYR"	"1323-63763"	"-SAR"	"1323-63714"	1
"383"	"1383-27254"	"WAS-"	"CACT811"	"CACT81"	"CACT"	"1981"	1981-04-30	4153	4335	49.2	1981-05-11	3	3	182	0.5	1	11	1	1	3	"F-SL"	"1383-27152"	"A-SO"	"1383-27194"	1
"384"	"1383-27261"	"WPS-"	"ROSE812"	"ROSE81"	"ROSE"	"1981"	1981-05-09	4163	4273	50	1981-05-20	3	3	110	0.3	1	11	0	0	3	"S-BW"	"763-25733"	"SG-R"	"1163-94224"	17
"385"	"1383-27262"	"RnS-"	"ROSE812"	"ROSE81"	"ROSE"	"1981"	1981-05-09	4163	4178	44.8	1981-05-20	3	3	15	0.04	1	11	0	0	3	"S-BW"	"763-25733"	"SG-R"	"1163-94224"	17
"386"	"1383-27263"	"GnS-"	"ROSE812"	"ROSE81"	"ROSE"	"1981"	1981-05-09	4163	4178	42.8	1981-05-20	3	3	15	0.04	1	11	0	0	3	"S-BW"	"763-25733"	"SG-R"	"1163-94224"	17
"387"	"1383-27264"	"WBS-"	"COPS812"	"COPS81"	"COPS"	"1981"	1981-05-19	4173	4273	48	1981-05-30	4	4	100	0.27	1	11	1	1	3	"-PSB"	"1383-27289"	"L-SG"	"1383-27073"	1
"388"	"1383-27267"	"YBS-"	"COPS812"	"COPS81"	"COPS"	"1981"	1981-05-19	4173	6037	47.3	1981-05-30	4	4	1864	5.1	0	11	1	1	2	"-PSB"	"1383-27289"	"L-SG"	"1383-27073"	1
"389"	"1383-27290"	"WS-L"	"WCOP821"	"WCOP82"	"WCOP"	"1982"	1982-04-08	4498	5216	52.6	1982-04-19	3	3	718	1.97	0	11	0	0	1	"SWR-"	"793-09815"	"SW-G"	"1383-27134"	1
"390"	"1423-42604"	"OS-n"	"COPS821"	"COPS82"	"COPS"	"1982"	1982-04-15	4503	4544	49.8	1982-04-26	4	1	41	0.11	1	11	1	2	3	"-PSB"	"1383-27289"	"L-SY"	"1383-27095"	1
"391"	"1423-42605"	"YS-F"	"SAND821"	"SAND82"	"SAND"	"1982"	1982-04-15	4505	7441	52.6	1982-04-26	2	2	2936	8.04	0	11	1	1	1	"BGS-"	"1383-27085"	"-SAY"	"1323-63736"	1
"392"	"1423-42606"	"BS-F"	"SAND821"	"SAND82"	"SAND"	"1982"	1982-04-15	4505	4757	47.9	1982-04-26	2	2	252	0.69	1	11	1	1	2	"BGS-"	"1383-27085"	"-SAY"	"1323-63736"	1
"393"	"1423-42608"	"PS-F"	"CABS821"	"CABS82"	"CABS"	"1982"	1982-04-16	4508	6767	51.1	1982-04-27	3	3	2259	6.18	0	11	0	0	1	"-ASY"	"1433-93022"	"SY-P"	"1383-27133"	1
"394"	"1423-42609"	"OS-n"	"CABS821"	"CABS82"	"CABS"	"1982"	1982-04-16	4508	4544	50.9	1982-04-27	3	3	36	0.1	1	11	0	0	3	"-ASY"	"1433-93022"	"SY-P"	"1383-27133"	1
"395"	"1423-42610"	"LS-n"	"CABS821"	"CABS82"	"CABS"	"1982"	1982-04-16	4508	4514	48.2	1982-04-27	3	3	6	0.02	1	11	0	0	3	"-ASY"	"1433-93022"	"SY-P"	"1383-27133"	1
